epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,6436.34,0.98406,0.48478,1.03369,0.99804,0.98755,0.99494,0.82077,0.73225,0.3335,0.92656,0.000872857,0.000872857,0.000872857
37,6672.02,0.96688,0.47775,1.02441,0.99461,0.99419,0.99497,0.82439,0.71111,0.33006,0.90663,0.000865839,0.000865839,0.000865839
38,6905.45,0.96621,0.47256,1.01649,0.99708,0.98984,0.99497,0.82912,0.70852,0.32411,0.90741,0.000858664,0.000858664,0.000858664
39,7127.01,0.96286,0.47576,1.01957,0.99381,0.99129,0.99496,0.8349,0.69723,0.32346,0.90607,0.000851333,0.000851333,0.000851333
40,7348.09,0.94303,0.4652,1.01203,0.99454,0.98984,0.99494,0.83528,0.69474,0.32103,0.90267,0.000843851,0.000843851,0.000843851
41,7569.94,0.9407,0.46597,1.00976,0.99564,0.99355,0.99497,0.83984,0.68426,0.3179,0.89991,0.00083622,0.00083622,0.00083622
42,7788.6,0.93325,0.4587,1.0056,0.99511,0.99323,0.99497,0.83894,0.67959,0.31447,0.89896,0.000828443,0.000828443,0.000828443
43,8018.24,0.91784,0.45257,0.99923,0.99686,0.99371,0.99497,0.8423,0.66411,0.30827,0.89042,0.000820525,0.000820525,0.000820525
44,8250.8,0.92105,0.45727,1.00519,0.99515,0.99356,0.99497,0.84589,0.65775,0.30574,0.88938,0.000812468,0.000812468,0.000812468
45,8472.92,0.90084,0.44426,0.99437,0.99612,0.99316,0.99496,0.84595,0.64472,0.2999,0.8844,0.000804277,0.000804277,0.000804277
46,8695.23,0.89011,0.44027,0.99043,0.99501,0.99081,0.99496,0.85196,0.62946,0.29513,0.87919,0.000795954,0.000795954,0.000795954
47,8917.08,0.89011,0.43879,0.99061,0.99612,0.99257,0.99496,0.8524,0.62784,0.29206,0.8751,0.000787503,0.000787503,0.000787503
48,9135.77,0.89297,0.43773,0.9904,0.99485,0.99419,0.99497,0.85758,0.61718,0.28762,0.87114,0.000778929,0.000778929,0.000778929
49,9365.64,0.87671,0.4325,0.98082,0.99564,0.99316,0.99496,0.85898,0.61757,0.28627,0.87004,0.000770234,0.000770234,0.000770234
50,9599.03,0.85956,0.42704,0.97565,0.99696,0.99129,0.99498,0.86315,0.60547,0.28364,0.86673,0.000761423,0.000761423,0.000761423
51,9820.56,0.8669,0.43025,0.97652,0.99859,0.99032,0.995,0.86363,0.59836,0.28146,0.86406,0.0007525,0.0007525,0.0007525
52,10043.2,0.86198,0.42857,0.97733,1,0.98974,0.995,0.86348,0.59621,0.27894,0.86234,0.000743468,0.000743468,0.000743468
53,10265.2,0.84237,0.41554,0.96883,0.99469,0.99647,0.99498,0.86509,0.5903,0.27453,0.86109,0.000734332,0.000734332,0.000734332
54,10484,0.84477,0.41973,0.97215,0.99465,0.99661,0.99499,0.8675,0.58075,0.27308,0.86005,0.000725094,0.000725094,0.000725094
55,10713.8,0.83375,0.41275,0.96648,0.99658,0.99371,0.99499,0.86995,0.57955,0.27205,0.85888,0.000715761,0.000715761,0.000715761
56,10948.6,0.82678,0.41132,0.96486,0.99572,0.99468,0.99497,0.87178,0.57238,0.2692,0.85755,0.000706335,0.000706335,0.000706335
57,11171.1,0.81967,0.40405,0.96045,0.99735,0.99565,0.995,0.87323,0.5607,0.26629,0.85466,0.00069682,0.00069682,0.00069682
58,11393.7,0.82318,0.40716,0.96322,0.99658,0.99323,0.99498,0.87408,0.56112,0.26512,0.85381,0.000687222,0.000687222,0.000687222
59,11616.2,0.80862,0.40449,0.95709,0.99806,0.99374,0.995,0.87491,0.56123,0.26456,0.85318,0.000677543,0.000677543,0.000677543
60,11837.6,0.80937,0.40497,0.95804,0.99632,0.99468,0.99498,0.87674,0.55357,0.26247,0.85061,0.000667789,0.000667789,0.000667789
61,12062,0.80413,0.3992,0.95281,0.99641,0.99516,0.99498,0.8782,0.55086,0.26017,0.84892,0.000657963,0.000657963,0.000657963
62,12299.5,0.80047,0.39529,0.95039,0.99608,0.99468,0.99497,0.8785,0.5475,0.25881,0.84566,0.000648071,0.000648071,0.000648071
63,12521.3,0.78742,0.39121,0.94638,0.99564,0.99401,0.99498,0.88178,0.54104,0.25665,0.84425,0.000638115,0.000638115,0.000638115
64,12744,0.77793,0.38954,0.94594,0.99549,0.99468,0.99497,0.88195,0.53717,0.25459,0.84378,0.000628101,0.000628101,0.000628101
65,12987.8,0.77383,0.38639,0.9416,0.99612,0.99356,0.99499,0.88332,0.5334,0.25153,0.84159,0.000618034,0.000618034,0.000618034
66,13210.2,0.76867,0.38404,0.94032,0.99709,0.99454,0.99499,0.88321,0.53105,0.25118,0.84095,0.000607916,0.000607916,0.000607916
67,13457.2,0.77083,0.38154,0.94326,0.99661,0.99503,0.99499,0.88491,0.52706,0.24935,0.84027,0.000597754,0.000597754,0.000597754
68,13679.2,0.76258,0.38191,0.93861,0.99672,0.99419,0.99498,0.8837,0.52475,0.24757,0.83944,0.000587551,0.000587551,0.000587551
69,13912,0.74673,0.3724,0.93134,0.99713,0.99565,0.99498,0.88757,0.52116,0.24558,0.83741,0.000577311,0.000577311,0.000577311
70,14142.2,0.75309,0.37295,0.93142,0.99613,0.99516,0.99498,0.88705,0.51717,0.24404,0.83538,0.00056704,0.00056704,0.00056704
71,14364.8,0.74446,0.37292,0.92973,0.99652,0.99565,0.99498,0.88898,0.51424,0.24359,0.8339,0.000556742,0.000556742,0.000556742
72,14587.5,0.73538,0.36727,0.9261,0.99742,0.99613,0.99498,0.89056,0.50936,0.24302,0.83207,0.000546421,0.000546421,0.000546421
73,14809.9,0.7403,0.36726,0.92556,0.99772,0.99661,0.995,0.89083,0.50738,0.24221,0.83047,0.000536081,0.000536081,0.000536081
74,15029.3,0.72631,0.36323,0.92123,0.99748,0.99661,0.995,0.89205,0.50446,0.24064,0.82915,0.000525728,0.000525728,0.000525728
75,15259.5,0.72095,0.36072,0.91852,0.99744,0.99661,0.995,0.89268,0.50112,0.2391,0.8276,0.000515366,0.000515366,0.000515366
76,15492.1,0.72477,0.36542,0.92109,0.99751,0.99613,0.995,0.89343,0.49645,0.23755,0.82643,0.000505,0.000505,0.000505
77,15713.9,0.71661,0.36024,0.9166,0.99765,0.99613,0.995,0.89475,0.49354,0.23655,0.82538,0.000494634,0.000494634,0.000494634
78,15936,0.70839,0.35371,0.91696,0.99766,0.99613,0.995,0.89359,0.4913,0.23529,0.82468,0.000484272,0.000484272,0.000484272
79,16158.5,0.70816,0.35551,0.91848,0.99758,0.99613,0.99499,0.89484,0.48928,0.23397,0.82419,0.000473919,0.000473919,0.000473919
80,16378.4,0.69952,0.35155,0.91268,0.99758,0.99646,0.99499,0.89512,0.48659,0.23273,0.82342,0.000463579,0.000463579,0.000463579
81,16606.9,0.69663,0.34875,0.91261,0.99824,0.99661,0.99499,0.89783,0.4843,0.23116,0.82267,0.000453258,0.000453258,0.000453258
82,16841.4,0.68882,0.34462,0.9101,0.99824,0.99661,0.99499,0.89664,0.48285,0.23065,0.82223,0.00044296,0.00044296,0.00044296
83,17064,0.68871,0.34701,0.91096,0.99823,0.99661,0.99499,0.89876,0.48132,0.22953,0.82176,0.000432689,0.000432689,0.000432689
84,17285.7,0.67959,0.34311,0.91084,0.99855,0.99708,0.99499,0.90015,0.47913,0.22902,0.82131,0.000422449,0.000422449,0.000422449
85,17507.9,0.67822,0.34206,0.90783,0.99837,0.9971,0.99499,0.90012,0.47727,0.22853,0.82093,0.000412246,0.000412246,0.000412246
86,17727.3,0.67518,0.33968,0.91026,0.99788,0.9971,0.99499,0.90024,0.47548,0.22778,0.82064,0.000402084,0.000402084,0.000402084
87,17953.8,0.6699,0.33941,0.90798,0.99855,0.99719,0.995,0.90156,0.47334,0.22756,0.82012,0.000391966,0.000391966,0.000391966
88,18189.2,0.65977,0.33419,0.90109,0.99853,0.99758,0.995,0.90103,0.47114,0.22711,0.8197,0.000381899,0.000381899,0.000381899
89,18411.2,0.65795,0.33176,0.90026,0.99855,0.9975,0.995,0.90119,0.46941,0.22624,0.81911,0.000371885,0.000371885,0.000371885
90,18633.6,0.65731,0.33148,0.89628,0.99855,0.99733,0.995,0.90225,0.46733,0.22542,0.81832,0.000361929,0.000361929,0.000361929
91,18857,0.65599,0.32904,0.90012,0.99836,0.9971,0.995,0.90368,0.46555,0.2251,0.81787,0.000352037,0.000352037,0.000352037
92,19080,0.65034,0.32618,0.89754,0.99847,0.9971,0.995,0.90399,0.46395,0.22422,0.81733,0.000342211,0.000342211,0.000342211
93,19302.2,0.65013,0.32842,0.8984,0.99847,0.9971,0.995,0.9039,0.46252,0.22395,0.8168,0.000332457,0.000332457,0.000332457
94,19541.7,0.64145,0.32264,0.89493,0.99848,0.9971,0.995,0.90485,0.46137,0.2232,0.8165,0.000322778,0.000322778,0.000322778
95,19763.7,0.64764,0.32577,0.89844,0.99847,0.9971,0.995,0.90524,0.46045,0.22289,0.81607,0.00031318,0.00031318,0.00031318
96,19986.3,0.63467,0.32059,0.8933,0.99833,0.9971,0.995,0.90642,0.45891,0.22266,0.8156,0.000303665,0.000303665,0.000303665
97,20208.5,0.62885,0.31778,0.88983,0.99843,0.9971,0.995,0.90731,0.45757,0.22197,0.81521,0.000294239,0.000294239,0.000294239
98,20431.5,0.63118,0.31674,0.89214,0.99843,0.9971,0.995,0.90713,0.45667,0.22142,0.81482,0.000284906,0.000284906,0.000284906
99,20649.3,0.62919,0.32152,0.88836,0.99857,0.9971,0.995,0.90885,0.45555,0.22102,0.81444,0.000275668,0.000275668,0.000275668
100,20890.3,0.62455,0.31712,0.8901,0.99889,0.9971,0.995,0.9088,0.45424,0.22031,0.81405,0.000266532,0.000266532,0.000266532
101,21112.8,0.62037,0.31351,0.88645,0.99897,0.9971,0.995,0.90925,0.45321,0.21986,0.81366,0.0002575,0.0002575,0.0002575
102,21335,0.61865,0.31175,0.88679,0.99846,0.9971,0.995,0.90917,0.4522,0.21998,0.81327,0.000248577,0.000248577,0.000248577
103,21558.4,0.61293,0.30875,0.88272,0.99903,0.99701,0.995,0.90937,0.45118,0.21982,0.81285,0.000239766,0.000239766,0.000239766
104,21780.5,0.61016,0.30774,0.88567,0.99903,0.99698,0.995,0.90964,0.45005,0.21903,0.81248,0.000231071,0.000231071,0.000231071
105,21999.6,0.60669,0.30586,0.88252,0.99868,0.9971,0.995,0.91057,0.44879,0.21812,0.81202,0.000222497,0.000222497,0.000222497
106,22238.8,0.6066,0.30845,0.88561,0.99903,0.99698,0.995,0.91049,0.44769,0.21764,0.81165,0.000214046,0.000214046,0.000214046
107,22464.4,0.5993,0.30369,0.87966,0.99903,0.99697,0.995,0.91134,0.44644,0.21731,0.81127,0.000205723,0.000205723,0.000205723
108,22686.5,0.59605,0.30146,0.87981,0.99903,0.99703,0.995,0.91081,0.44538,0.21715,0.81088,0.000197532,0.000197532,0.000197532
109,22909,0.59535,0.30118,0.88138,0.99903,0.99704,0.995,0.91144,0.44444,0.21674,0.81059,0.000189475,0.000189475,0.000189475
110,23131.1,0.58851,0.29834,0.87578,0.99903,0.99704,0.995,0.91244,0.44364,0.21655,0.81028,0.000181557,0.000181557,0.000181557
111,23350.1,0.58763,0.29792,0.87867,0.99903,0.99703,0.995,0.9115,0.44292,0.21625,0.80992,0.00017378,0.00017378,0.00017378
112,23585.6,0.5828,0.29687,0.87556,0.99903,0.99705,0.995,0.9129,0.44194,0.21583,0.80962,0.000166149,0.000166149,0.000166149
113,23814.1,0.57967,0.29587,0.87676,0.99903,0.99703,0.995,0.91187,0.44117,0.21545,0.80937,0.000158667,0.000158667,0.000158667
114,24035.4,0.57422,0.2917,0.87386,0.99903,0.99695,0.995,0.91361,0.44,0.21465,0.80901,0.000151336,0.000151336,0.000151336
115,24258.7,0.57705,0.29463,0.87581,0.99903,0.99697,0.995,0.91375,0.43917,0.21446,0.80864,0.000144161,0.000144161,0.000144161
116,24481.6,0.5721,0.29124,0.87223,0.99903,0.99699,0.995,0.91369,0.43796,0.21417,0.8083,0.000137143,0.000137143,0.000137143
117,24701.1,0.57051,0.28761,0.8722,0.99903,0.99702,0.995,0.91308,0.43717,0.21381,0.80797,0.000130287,0.000130287,0.000130287
118,24933.1,0.57581,0.29005,0.87522,0.99903,0.99703,0.995,0.91391,0.43609,0.21349,0.80771,0.000123596,0.000123596,0.000123596
119,25164.8,0.57047,0.28763,0.8732,0.99903,0.99703,0.995,0.91368,0.43508,0.21311,0.80743,0.000117072,0.000117072,0.000117072
120,25388.8,0.56289,0.28818,0.87062,0.99903,0.99703,0.995,0.91398,0.43441,0.21271,0.80717,0.000110718,0.000110718,0.000110718
121,25612.6,0.55674,0.28459,0.87024,0.99903,0.99702,0.995,0.91356,0.43372,0.21243,0.80694,0.000104537,0.000104537,0.000104537
122,25834.4,0.55439,0.28263,0.86803,0.99903,0.997,0.995,0.91427,0.43284,0.21188,0.80668,9.85311e-05,9.85311e-05,9.85311e-05
123,26055.9,0.55557,0.28375,0.87068,0.99903,0.99701,0.995,0.91403,0.4321,0.21171,0.80644,9.2704e-05,9.2704e-05,9.2704e-05
124,26283,0.55845,0.28284,0.87028,0.99903,0.99701,0.995,0.91473,0.43116,0.21135,0.80617,8.70577e-05,8.70577e-05,8.70577e-05
125,26520.3,0.55234,0.28223,0.87096,0.99903,0.997,0.995,0.91515,0.43039,0.21123,0.80595,8.15947e-05,8.15947e-05,8.15947e-05
126,26743.9,0.55301,0.28148,0.86836,0.99903,0.99709,0.995,0.91522,0.42961,0.21066,0.80568,7.63174e-05,7.63174e-05,7.63174e-05
127,26966.4,0.55386,0.27967,0.8673,0.99903,0.99707,0.995,0.91513,0.4288,0.21097,0.80542,7.12282e-05,7.12282e-05,7.12282e-05
128,27190.1,0.54949,0.28029,0.86952,0.99903,0.99698,0.995,0.91578,0.42788,0.21049,0.8052,6.63292e-05,6.63292e-05,6.63292e-05
129,27412.8,0.55488,0.28069,0.87096,0.99903,0.99698,0.995,0.91588,0.4273,0.21017,0.80494,6.16227e-05,6.16227e-05,6.16227e-05
130,27631.4,0.54299,0.27522,0.86799,0.99903,0.99697,0.995,0.9158,0.42643,0.21036,0.80472,5.71106e-05,5.71106e-05,5.71106e-05
131,27873.3,0.54269,0.27606,0.86532,0.99903,0.99696,0.995,0.9159,0.42558,0.21002,0.80448,5.2795e-05,5.2795e-05,5.2795e-05
132,28097.1,0.54327,0.27997,0.86646,0.99903,0.99696,0.995,0.91579,0.42476,0.20979,0.80428,4.86777e-05,4.86777e-05,4.86777e-05
133,28320,0.54176,0.27643,0.86532,0.99903,0.99695,0.995,0.91638,0.42405,0.20927,0.80408,4.47606e-05,4.47606e-05,4.47606e-05
134,28543.3,0.54342,0.27567,0.86611,0.99903,0.99695,0.995,0.91652,0.42319,0.20912,0.80389,4.10454e-05,4.10454e-05,4.10454e-05
135,28766.3,0.54187,0.27657,0.86672,0.99903,0.99695,0.995,0.91664,0.42234,0.20875,0.80365,3.75337e-05,3.75337e-05,3.75337e-05
136,28985.8,0.5393,0.27505,0.86624,0.99903,0.99695,0.995,0.91681,0.42138,0.20892,0.8034,3.4227e-05,3.4227e-05,3.4227e-05
137,29222.1,0.53947,0.27552,0.86354,0.99903,0.99696,0.995,0.91692,0.42056,0.20843,0.80316,3.11268e-05,3.11268e-05,3.11268e-05
138,29451.3,0.53634,0.27279,0.86185,0.99903,0.99696,0.995,0.91708,0.41974,0.20805,0.80291,2.82345e-05,2.82345e-05,2.82345e-05
139,29674.5,0.53672,0.27356,0.86338,0.99903,0.99694,0.995,0.9171,0.41905,0.20741,0.80267,2.55513e-05,2.55513e-05,2.55513e-05
140,29899.2,0.53884,0.27512,0.86309,0.99903,0.99696,0.995,0.91719,0.4184,0.20723,0.80252,2.30784e-05,2.30784e-05,2.30784e-05
141,30124,0.4417,0.21335,0.82472,0.99903,0.99696,0.995,0.91785,0.41762,0.20689,0.80226,2.08169e-05,2.08169e-05,2.08169e-05
142,30344.6,0.42701,0.20808,0.82276,0.99903,0.99697,0.995,0.91801,0.41707,0.20655,0.80212,1.87678e-05,1.87678e-05,1.87678e-05
143,30572.1,0.4193,0.2084,0.81936,0.99903,0.99699,0.995,0.91802,0.41647,0.20653,0.80193,1.6932e-05,1.6932e-05,1.6932e-05
144,30812.2,0.41182,0.20398,0.81887,0.99903,0.99698,0.995,0.91815,0.41588,0.20589,0.80174,1.53102e-05,1.53102e-05,1.53102e-05
145,31034.6,0.41108,0.20382,0.82016,0.99903,0.997,0.995,0.91808,0.41545,0.20564,0.8016,1.39032e-05,1.39032e-05,1.39032e-05
146,31257.6,0.41305,0.20428,0.82017,0.99903,0.99701,0.995,0.91941,0.41506,0.20549,0.80141,1.27117e-05,1.27117e-05,1.27117e-05
147,31481.3,0.40463,0.2011,0.8163,0.99903,0.99701,0.995,0.91947,0.41433,0.20557,0.80128,1.1736e-05,1.1736e-05,1.1736e-05
148,31704.1,0.40686,0.20265,0.81745,0.99903,0.99701,0.995,0.92135,0.414,0.20525,0.80111,1.09768e-05,1.09768e-05,1.09768e-05
149,31925.2,0.40193,0.20131,0.81668,0.99903,0.99702,0.995,0.92104,0.4135,0.20497,0.80092,1.04342e-05,1.04342e-05,1.04342e-05
150,32163.4,0.40601,0.20167,0.82073,0.99903,0.99702,0.995,0.921,0.41301,0.20489,0.80077,1.01086e-05,1.01086e-05,1.01086e-05
